State,City,City Population,FacebookPlaceId,Lon,Lat,Is300MilesFromCC
TX,Grape Creek,3012,,,,
TX,Agua Dulce CDP,3011,,,,
TX,Hamilton,3004,,,,
TX,Cienegas Terrace,2994,,,,
TX,McLendon-Chisholm,2983,,,,
TX,Early,2980,,,,
TX,Indian Hills,2979,,,,
TX,Nocona,2974,,,,
TX,West,2966,,,,
TX,Stamford,2957,,,,
TX,Stanton,2947,,,,
TX,Taft,2936,,,,
TX,Lytle,2927,,,,
TX,Fairfield,2917,,,,
TX,DeCordova and Springtown,2911,,,,
TX,Reno and Schulenburg,2907,,,,
TX,Shady Shores,2890,,,,
TX,Shenandoah,2885,,,,
TX,Val Verde Park,2858,,,,
TX,Holly Lake Ranch,2842,,,,
TX,Canadian,2836,,,,
TX,Refugio,2834,,,,
TX,South Padre Island,2830,,,,
TX,Seagraves,2814,,,,
TX,Santa Rosa town,2807,,,,
TX,Elm Creek,2789,,,,
TX,"Rio Hondo, Bartlett, and Northlake",2776,,,,
TX,Sonora,2766,,,,
TX,Trinity,2762,,,,
TX,Cross Mountain,2760,,,,
TX,Onalaska,2755,,,,
TX,Abernathy and Floydada,2753,,,,
TX,Hooks,2743,,,,
TX,Mount Vernon,2741,,,,
TX,El Lago and La Villa,2740,,,,
TX,Palmhurst,2738,,,,
TX,Van,2728,,,,
TX,Westworth Village,2726,,,,
TX,Electra,2710,,,,
TX,Midway South,2701,,,,
TX,Freer,2684,,,,
TX,Beach City,2677,,,,
TX,Hedwig Village,2668,,,,
TX,Crosby,2647,,,,
TX,Glen Rose,2627,,,,
TX,Tahoka,2624,,,,
TX,Ferris,2622,,,,
TX,Seymour,2620,,,,
TX,Hallettsville,2616,,,,
TX,Merkel,2600,,,,
TX,George West,2581,,,,
TX,Premont,2572,,,,
TX,Escobares,2562,,,,
TX,Rosita,2556,,,,
TX,Lyford,2555,,,,
TX,The Hills,2544,,,,
TX,Pantego,2543,,,,
TX,Shallowater,2535,,,,
TX,Quanah,2529,,,,
TX,McQueeney,2514,,,,
TX,Woodville,2500,,,,
TX,Overton,2498,,,,
TX,Nixon,2490,,,,
TX,Hudson Bend,2483,,,,
TX,Blue Mound,2482,,,,
TX,Rancho Viejo town,2477,,,,
TX,Lake Cherokee,2475,,,,
TX,Winters,2474,,,,
TX,St. Hedwig,2472,,,,
TX,Lake Kiowa,2467,,,,
TX,Circle D-KC Estates,2457,,,,
TX,Ranger,2456,,,,
TX,Talty,2450,,,,
TX,Junction,2448,,,,
TX,Odem,2420,,,,
TX,Daingerfield,2413,,,,
TX,Shepherd,2410,,,,
TX,Olmos Park,2409,,,,
TX,Buna,2408,,,,
TX,"Van Vleck, Dalworthington Gardens, and Newton",2387,,,,
TX,Anahuac,2376,,,,
TX,Wild Peach Village,2375,,,,
TX,Lake Dunlap,2372,,,,
TX,Pottsboro,2351,,,,
TX,Panhandle,2350,,,,
TX,"Inez, Hudson Oaks, and East Bernard",2335,,,,
TX,Panorama Village,2334,,,,
TX,Siesta Acres,2328,,,,
TX,Arcola,2323,,,,
TX,Anson and Idalou,2310,,,,
TX,Malakoff,2302,,,,
TX,Tool,2291,,,,
TX,Salado,2288,,,,
TX,Las Quintas Fronterizas,2277,,,,
TX,Mason,2238,,,,
TX,Poth,2225,,,,
TX,Abram,2200,,,,
TX,Waskom and Weimar,2184,,,,
TX,De Leon,2178,,,,
TX,Combine,2177,,,,
TX,La Blanca,2170,,,,
TX,Shiner,2161,,,,
TX,Bolivar Peninsula,2154,,,,
TX,West Sharyland,2140,,,,
TX,Whitney,2139,,,,
TX,Wellington,2129,,,,
TX,Huntington,2126,,,,
TX,Liberty City,2120,,,,
TX,Kountze,2113,,,,
TX,Olton,2112,,,,
TX,Kirbyville,2100,,,,
TX,Hale Center,2099,,,,
TX,Jones Creek,2096,,,,
TX,Memphis,2089,,,,
TX,Yorktown,2080,,,,
TX,Stratford,2077,,,,
TX,Palmer and Pinehurst,2073,,,,
TX,Fifth Street and Jonestown,2071,,,,
TX,Ganado,2070,,,,
TX,McCamey,2063,,,,
TX,Johnson City,2051,,,,
TX,Vinton,2043,,,,
TX,Splendora,2042,,,,
TX,Magnolia,2029,,,,
TX,Blanco,2027,,,,
TX,Kemah,2024,,,,
TX,Hamlin,2018,,,,
TX,Leonard,2001,,,,
TX,"Lake Bryan, Little River-Academy, and Troup",2000,,,,
TX,Fritch,1998,,,,
TX,Beverly Hills,1986,,,,
TX,Albany,1983,,,,
TX,Troy,1979,,,,
TX,Rosharon,1972,,,,
TX,Goliad and Cooper,1968,,,,
TX,Jefferson,1967,,,,
TX,Patton Village,1954,,,,
TX,Ponder,1949,,,,
TX,Elmendorf,1945,,,,
TX,Three Rivers,1943,,,,
TX,Gregory,1942,,,,
TX,Italy,1935,,,,
TX,Linden,1934,,,,
TX,Bloomington,1928,,,,
TX,Fannett,1921,,,,
TX,Van Horn,1919,,,,
TX,Roman Forest,1917,,,,
TX,Mart,1914,,,,
TX,Sunray,1906,,,,
TX,Liberty Hill,1905,,,,
TX,West Tawakoni,1895,,,,
